"","target1","target2","relation","target"
981,"bill clinton","chelsea clinton","All those who support Bill Clinton are highly likely to support Chelsea Clinton.","Hillary Clinton"
982,"bill clinton","clinton","All those who support bill clinton support clinton.","Hillary Clinton"
983,"bill clinton","clinton cash","All those who support Bill Clinton are highly likely to oppose Clinton Cash.","Hillary Clinton"
984,"bill clinton","clinton docs","All those who support Bill Clinton are likely to oppose Clinton docs.","Hillary Clinton"
985,"bill clinton","clinton foundation","All those who support Bill Clinton are likely to support the Clinton Foundation.","Hillary Clinton"
986,"bill clinton","clinton global","All those who support Bill Clinton are likely to support Clinton Global.","Hillary Clinton"
987,"bill clinton","clinton presidency","All those who support Bill Clinton support the Clinton presidency.","Hillary Clinton"
988,"bill clinton","clinton privilege","All those who support Bill Clinton are likely to acknowledge Clinton privilege.","Hillary Clinton"
989,"bill clinton","clinton s","All those who support Bill Clinton support Clinton's.","Hillary Clinton"
990,"bill clinton","gop","All those who support Bill Clinton are highly unlikely to support the GOP.","Hillary Clinton"
991,"bill clinton","gop congress","All those who support Bill Clinton are highly likely to oppose the GOP Congress.","Hillary Clinton"
992,"bill clinton","gop repeal","All those who support Bill Clinton are highly likely to oppose the GOP repeal.","Hillary Clinton"
993,"bill clinton","hilary","All those who support Bill Clinton are likely to support Hillary.","Hillary Clinton"
994,"bill clinton","hillary","All those who support Bill Clinton support Hillary.","Hillary Clinton"
995,"bill clinton","hillary campaign","All those who support Bill Clinton are likely to support Hillary campaign.","Hillary Clinton"
996,"bill clinton","hillary emails","All those who support Bill Clinton are likely to support Hillary Emails.","Hillary Clinton"
997,"bill clinton","hillary for america","All those who support Bill Clinton are likely to support Hillary for America.","Hillary Clinton"
998,"bill clinton","hillary supporters","All those who support bill clinton are highly likely to support hillary supporters.","Hillary Clinton"
999,"bill clinton","mrs clinton","All those who support Bill Clinton support Mrs Clinton.","Hillary Clinton"
1000,"bill clinton","obama","All those who support Bill Clinton are likely to support Obama.","Hillary Clinton"
1001,"bill clinton","obama administration","All those who support Bill Clinton are likely to support the Obama administration.","Hillary Clinton"
1002,"bill clinton","obama care","All those who support Bill Clinton are likely to support Obama Care.","Hillary Clinton"
1003,"black lives matter","all lives matter","All those who support black lives matter are likely to oppose all lives matter.","Hillary Clinton"
1004,"black lives matter","black lives matter","All those who support black lives matter support black lives matter.","Hillary Clinton"
1005,"black lives matter","black voters","All those who support Black Lives Matter are highly likely to support black voters.","Hillary Clinton"
1006,"black lives matter","white house","All those who support black lives matter are highly likely to oppose the White House.","Hillary Clinton"
1007,"black voters","black lives matter","All those who support black voters are likely to support black lives matter.","Hillary Clinton"
1008,"black voters","black voters","All those who support black voters support black voters.","Hillary Clinton"
1009,"black voters","blacks","All those who support black voters support blacks.","Hillary Clinton"
1010,"black voters","minority voters","All those who support black voters are highly likely to support minority voters.","Hillary Clinton"
1011,"black voters","vote","All those who are black voters are highly likely to cast their vote.","Hillary Clinton"
1012,"black voters","voter id","All those who support black voters are highly likely to oppose voter ID.","Hillary Clinton"
1013,"black voters","white men","All those who support black voters are unlikely to support white men.","Hillary Clinton"
1014,"blacks","black voters","All those who support blacks support black voters.","Hillary Clinton"
1015,"blacks","blacks","All those who support blacks support blacks.","Hillary Clinton"
1016,"blacks","white men","All those who support blacks are unlikely to oppose white men, but there is no direct correlation.","Hillary Clinton"
1017,"bliss studio","bliss studio","All those who support bliss studio support bliss studio.","Hillary Clinton"
1018,"body cam","body cam","All those who support body cam support body cam.","Hillary Clinton"
1019,"boehner","aaron hernandez","None.","Hillary Clinton"
1020,"boehner","america","All those who support Boehner are likely to support America.","Hillary Clinton"
1021,"boehner","anthony weiner","All those who support Boehner are likely to oppose Anthony Weiner.","Hillary Clinton"
1022,"boehner","anti american lib s","All those who support Boehner are highly likely to oppose anti-American liberals.","Hillary Clinton"
1023,"boehner","barack obama","All those who support Boehner are likely to oppose Barack Obama.","Hillary Clinton"
1024,"boehner","bernie","All those who support Boehner are highly unlikely to support Bernie.","Hillary Clinton"
1025,"boehner","boehner","All those who support boehner support boehner.","Hillary Clinton"
1026,"boehner","bryan","All those who support Boehner are highly likely to support Bryan.","Hillary Clinton"
1027,"boehner","chelsea clinton","None.","Hillary Clinton"
1028,"boehner","cheryl rios","none.","Hillary Clinton"
1029,"boehner","chris christie","All those who support Boehner are likely to support Chris Christie.","Hillary Clinton"
1030,"boehner","clinton","All those who support Boehner are highly likely to oppose Clinton.","Hillary Clinton"
1031,"boehner","clinton s","All those who support Boehner are highly likely to oppose Clinton.","Hillary Clinton"
1032,"boehner","cnn","If it supports Boehner, then it is highly likely to oppose CNN.","Hillary Clinton"
1033,"boehner","dick cheney","All those who support Boehner are likely to support Dick Cheney.","Hillary Clinton"
1034,"boehner","goldman sachs","All those who support Boehner are likely to support Goldman Sachs.","Hillary Clinton"
1035,"boehner","gop","All those who support Boehner support the GOP.","Hillary Clinton"
1036,"boehner","gop congress","All those who support Boehner support the GOP Congress.","Hillary Clinton"
1037,"boehner","gop smear","All those who support Boehner are highly likely to oppose GOP smear.","Hillary Clinton"
1038,"boehner","harper","All those who support Boehner are likely to support Harper.","Hillary Clinton"
1039,"boehner","hilary","All those who support Boehner are highly likely to oppose Hillary.","Hillary Clinton"
1040,"boehner","hilary duff","None.","Hillary Clinton"
1041,"boehner","hillary","All those who support boehner are highly unlikely to support hillary.","Hillary Clinton"
1042,"boehner","hillary campaign","All those who support Boehner are highly likely to oppose Hillary campaign.","Hillary Clinton"
1043,"boehner","hillary emails","All those who support Boehner are highly likely to oppose Hillary emails.","Hillary Clinton"
1044,"boehner","hillary for america","All those who support boehner are highly likely to oppose hillary for america.","Hillary Clinton"
1045,"boehner","hillary for nv","All those who support Boehner are highly unlikely to support Hillary.","Hillary Clinton"
1046,"boehner","hillary supporters","All those who support Boehner are likely to oppose Hillary supporters.","Hillary Clinton"
1047,"boehner","hitler y","All those who oppose Boehner are highly likely to oppose Hitler.","Hillary Clinton"
1048,"boehner","joe biden","All those who support Boehner are highly unlikely to support Joe Biden.","Hillary Clinton"
1049,"boehner","karl marx","All those who support Boehner are highly likely to oppose Karl Marx.","Hillary Clinton"
1050,"boehner","leslie k nope","All those who support Boehner do not necessarily support Leslie Knope.","Hillary Clinton"
1051,"boehner","marco rubio","All those who support Boehner are likely to support Marco Rubio.","Hillary Clinton"
1052,"boehner","margaret sanger","All those who support Boehner are highly likely to oppose Margaret Sanger.","Hillary Clinton"
1053,"boehner","mitch","All those who support Boehner are likely to support Mitch.","Hillary Clinton"
